PC_0	PC_1	PC_2	status
>contig-4000002_985_nucleotides	2.785656e+00	-2.305612e+00	-2.838673e-01	2
>contig-5000002_260_nucleotides	-2.377505e+00	-7.546373e+00	-5.414918e+00	2
>contig-6000002_335_nucleotides	4.873136e+00	9.940506e+00	-1.584840e+00	2
>contig-7000002_191_nucleotides	2.402998e+00	8.761878e+00	3.679727e+00	2
>contig-3_11010_nucleotides	-3.678212e+00	-7.523868e-01	-9.320944e-01	2
>contig-1000003_1547_nucleotides	-6.444734e+00	-1.714434e+00	1.412040e+00	2
>contig-2000003_665_nucleotides	6.770968e+00	2.640622e-02	-2.883863e+00	2
>contig-3000003_230_nucleotides	-1.661160e+00	-2.585210e+00	1.564177e+01	2
>contig-4000003_284_nucleotides	1.016609e+01	-1.360282e+00	-1.196453e+00	2
>contig-5000003_7326_nucleotides	-2.548272e+00	2.198512e-01	2.899796e-01	2
>contig-6000003_359_nucleotides	1.008551e+01	-5.968852e+00	-6.695883e-01	2
>contig-4_110706_nucleotides	-3.262415e+00	-4.306832e-01	-2.465729e-01	2
>contig-1000004_8987_nucleotides	-2.878435e+00	-2.183204e-02	5.450888e-01	2
>contig-2000004_1687_nucleotides	-2.113105e+00	2.197378e-01	3.611899e+00	2
>contig-3000004_348_nucleotides	4.891672e+00	5.164561e+00	8.761709e-01	2
>contig-4000004_282_nucleotides	1.090230e+01	-3.780195e+00	4.750321e+00	2
>contig-5000004_593_nucleotides	7.484559e+00	2.402911e-01	1.533853e+00	2
>contig-6000004_194_nucleotides	-3.928103e+00	-1.271522e+00	-3.668994e+00	2
>contig-5_52407_nucleotides	-2.338361e+00	-1.120742e+00	1.535678e+00	2
>contig-1000005_16628_nucleotides	-4.401548e+00	5.510318e-01	9.224266e-01	2
>contig-2000005_1046_nucleotides	4.442698e+00	-8.639029e-01	8.435251e-01	2
>contig-3000005_864_nucleotides	6.287212e+00	-4.198001e+00	-1.529650e+00	2
>contig-4000005_370_nucleotides	9.082416e+00	-1.996154e+00	5.997751e-01	2
>contig-5000005_271_nucleotides	5.020810e+00	-2.308784e+00	1.003809e+00	2
>contig-6000005_227_nucleotides	3.067899e+00	2.978374e+00	2.680110e+00	2
>contig-7000005_212_nucleotides	6.967979e+00	9.070928e+00	-1.136389e+01	2
>contig-6_39539_nucleotides	-3.632080e+00	-1.421154e+00	-4.104108e-01	2
>contig-1000006_86887_nucleotides	-1.953874e+00	2.750264e-01	1.216976e+00	2
>contig-2000006_13103_nucleotides	-3.602045e+00	1.474663e-01	-2.088607e-01	2
>contig-3000006_8861_nucleotides	-2.644895e+00	-1.068356e+00	-1.905118e-01	2
>contig-4000006_3701_nucleotides	-2.863969e+00	7.774636e-01	2.346460e-01	2
>contig-5000006_3643_nucleotides	-3.913010e+00	-1.978192e+00	9.493949e-01	2
>contig-6000006_872_nucleotides	-2.175226e+00	3.321081e+00	7.452099e-01	2
>contig-7000006_339_nucleotides	4.920192e+00	-1.670958e+00	2.142377e+00	2
>contig-7_46185_nucleotides	-1.582740e+00	3.304299e-01	1.685400e+00	2
>contig-1000007_26484_nucleotides	-2.985008e-01	-1.315844e+00	1.401340e+00	2
>contig-2000007_9312_nucleotides	-2.037398e+00	-1.609924e+00	-2.105134e-01	2
>contig-3000007_1315_nucleotides	-3.988561e+00	-2.140635e+00	1.186924e+00	2
>contig-4000007_615_nucleotides	-1.526285e+00	-2.493798e+00	-1.310213e+00	2
>contig-5000007_455_nucleotides	1.100035e+00	-4.889335e+00	-7.358817e+00	2
>contig-6000007_683_nucleotides	7.918918e+00	-2.620641e+00	-1.022100e+00	2
>contig-7000007_233_nucleotides	5.071169e+00	1.080801e+01	1.562555e+00	2
>contig-8000007_402_nucleotides	-3.223464e+00	1.754383e+01	-8.684431e+00	2
>contig-9000007_248_nucleotides	8.230472e+00	-5.207361e+00	-3.157804e+00	2
>contig-10000007_150_nucleotides	1.203903e+01	1.402725e+01	1.805853e+00	2
>contig-11000007_477_nucleotides	3.070478e+00	1.021999e+01	-3.677726e-02	2
>contig-12000007_240_nucleotides	7.447609e+00	1.249847e+01	-3.807180e+00	2
>contig-8_43918_nucleotides	-2.611616e+00	-1.406497e+00	3.954167e-01	2
>contig-1000008_4740_nucleotides	-1.512468e+00	-6.379774e-01	9.743514e-01	2
>contig-2000008_455_nucleotides	8.757975e-01	3.109876e+00	1.336452e+01	2
>contig-3000008_197_nucleotides	1.328446e+00	-2.283495e+00	7.678348e+00	2
>contig-9_10979_nucleotides	-2.161937e+00	-8.688333e-01	1.551749e+00	2
>contig-1000009_8586_nucleotides	-2.516242e+00	-9.398055e-01	7.324027e-02	2
>contig-2000009_7863_nucleotides	-3.708914e+00	-1.665104e+00	-1.048238e-01	2
>contig-3000009_77848_nucleotides	-2.986559e+00	-1.005588e+00	-2.258229e-01	2
>contig-4000009_2146_nucleotides	4.390800e-01	3.237217e+00	9.956740e+00	2
>contig-5000009_192_nucleotides	5.514054e+00	-6.526632e+00	-3.105412e+00	2
>contig-6000009_297_nucleotides	4.524985e+00	-5.471498e+00	-6.706201e-01	2
>contig-10_31446_nucleotides	-2.024512e+00	6.019699e-01	1.790591e+00	2
>contig-1000010_13316_nucleotides	-2.709593e+00	-2.472429e+00	-1.765798e+00	2
>contig-2000010_10664_nucleotides	-5.234313e-02	-2.354711e+00	-1.746117e+00	2
>contig-3000010_16336_nucleotides	-2.416915e+00	-1.056573e-01	-8.212961e-01	2
>contig-4000010_3722_nucleotides	2.121194e+00	-2.239921e+00	-1.179424e+00	2
>contig-5000010_26536_nucleotides	-3.388112e+00	-4.072898e-01	1.170222e-01	2
>contig-6000010_633_nucleotides	4.349572e+00	4.050353e+00	7.532133e+00	2
>contig-7000010_3205_nucleotides	3.699376e+00	-1.760409e+00	-2.301577e+00	2
>contig-8000010_197_nucleotides	1.553733e+00	1.286714e+00	8.802651e+00	2
>contig-11_21045_nucleotides	-1.403924e+00	1.167025e+00	1.354712e+00	2
>contig-1000011_12328_nucleotides	-2.642713e+00	-1.067063e-01	1.141455e+00	2
>contig-2000011_7854_nucleotides	-2.705339e+00	-1.650536e+00	-6.697450e-01	2
>contig-3000011_1081_nucleotides	-4.236984e-02	-2.836962e+00	-3.557707e+00	2
>contig-12_7309_nucleotides	-2.518730e+00	-7.696324e-01	1.720908e+00	2
>contig-1000012_256_nucleotides	4.628236e+00	6.514585e+00	9.083259e-02	2
>contig-2000012_218_nucleotides	-3.053968e+00	1.213944e+01	-3.226646e+00	2
>contig-3000012_182_nucleotides	-3.643084e+00	1.748929e+01	-8.728881e+00	2
>contig-4000012_206_nucleotides	2.633664e+00	-6.743655e+00	-1.191716e+01	2
>contig-13_19567_nucleotides	-2.838933e+00	-1.839445e+00	-5.035298e-01	2
>contig-1000013_60309_nucleotides	-2.606683e+00	-4.150286e-01	-4.409308e-01	2
>contig-2000013_1149_nucleotides	-1.817362e+00	-1.145211e+00	2.792482e-01	2
>contig-3000013_40959_nucleotides	8.031276e-01	1.276888e+00	1.742717e+00	2
>contig-4000013_669_nucleotides	5.277191e+00	-1.679239e+00	-4.395317e+00	2
>contig-14_41893_nucleotides	-2.108445e+00	-2.579068e-01	1.148827e+00	2
>contig-1000014_40263_nucleotides	-4.393638e+00	-1.700102e+00	-6.351887e-01	2
>contig-2000014_17484_nucleotides	-2.967270e+00	1.539102e-01	1.149960e+00	2
>contig-3000014_2950_nucleotides	-1.072722e+00	-8.946405e-01	7.842269e-01	2
>contig-4000014_2337_nucleotides	-1.874139e-02	2.714345e+00	9.301938e-01	2
>contig-5000014_284_nucleotides	4.273046e+00	1.641758e+00	3.874262e+00	2
>contig-6000014_179_nucleotides	2.802175e+00	-1.945748e+00	4.473549e+00	2
>contig-15_60965_nucleotides	-3.511120e+00	-4.638961e-01	1.569310e-01	2
>contig-1000015_15816_nucleotides	-2.572319e+00	2.216328e+00	6.776782e-01	2
>contig-2000015_2810_nucleotides	-1.050705e+00	-5.694282e-01	-1.375145e+00	2
>contig-3000015_1071_nucleotides	4.087627e+00	5.177454e+00	-1.674226e-01	2
>contig-4000015_370_nucleotides	9.654903e+00	-4.344411e+00	5.900151e-01	2
>contig-5000015_233_nucleotides	1.003299e+01	-6.255097e+00	-5.684081e+00	2
>contig-6000015_297_nucleotides	1.419667e+01	-5.979629e+00	1.995558e-01	2
>contig-7000015_216_nucleotides	1.210802e+00	-4.762804e+00	-7.143143e+00	2
>contig-8000015_566_nucleotides	6.879887e+00	-4.837010e+00	-9.592707e-01	2
>contig-9000015_248_nucleotides	9.422391e+00	-4.040605e+00	-4.189931e+00	2
>contig-10000015_393_nucleotides	1.719329e+00	6.038412e+00	5.818823e-01	2
>contig-11000015_310_nucleotides	1.069123e+01	1.065653e+01	3.280450e-01	2
